"Source:","/home/jseng/ue4/herbie2/herbie2_pcb/herbie2.sch"
"Date:","Mon 14 Dec 2020 07:40:39 AM PST"
"Tool:","Eeschema 5.1.8-db9833491~88~ubuntu18.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","97"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Category","DK_Datasheet_Link","DK_Detail_Page","Description","Digi-Key_PN","Family","Field4","MPN","Manufacturer","Status"
"36","6","R14, R15, R16, R17, R21, R22","20K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"37","2","R18, R19","1M","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"38","1","R20","1K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"39","2","R23, R24","4.7K","Device:R","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","",""
"40","1","RV1","10K","Device:R_POT","Potentiometer_THT:Potentiometer_Bourns_3266Y_Vertical","~","","","","","","","","","",""
"41","1","S0","Servo0","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"42","1","S1","Servo1","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"43","1","S2","Servo2","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"44","1","S3","Servo3","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"45","1","S4","Servo4","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"46","1","S5","Servo5","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","",""
"47","1","U1","74HC595","74xx:74HC595","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/sn74hc595.pdf","","","","","","","","","",""
"48","1","U2","74164","74xx_IEEE:74164","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","","","","","","","","","","",""
"49","2","U3, U7","24v13_Pololu","js:24v13_Pololu","js:24v13_Pololu","","","","","","","","","","",""
"50","2","U4, U5","LS7366R","js:LS7366R","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","","","","","","","","","",""
"51","1","U6","TCA9534","Interface_Expansion:TCA9534","Package_SO:SOIC-16_4.55x10.3mm_P1.27mm","http://www.ti.com/lit/ds/symlink/tca9534.pdf","","","","","","","","","",""
"52","1","U8","D36V50F5_Pololu","js:D36V50F5_Pololu","js:D36V50F5_Pololu","","","","","","","","","","",""
"53","2","Y1, Y2","20MHz","Device:Crystal","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering","~","","","","","","","","","",""
